mudra,image_path,landmark_path,status,num_hands_detected,expected_hands
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_0.jpg,data/landmarks/Alapadmam/Alapadmam_0.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_1.jpg,data/landmarks/Alapadmam/Alapadmam_1.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_10.jpg,data/landmarks/Alapadmam/Alapadmam_10.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_100.jpg,data/landmarks/Alapadmam/Alapadmam_100.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_101.jpg,data/landmarks/Alapadmam/Alapadmam_101.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_102.jpg,data/landmarks/Alapadmam/Alapadmam_102.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_103.jpg,data/landmarks/Alapadmam/Alapadmam_103.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_104.jpg,data/landmarks/Alapadmam/Alapadmam_104.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_105.jpg,data/landmarks/Alapadmam/Alapadmam_105.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_106.jpg,data/landmarks/Alapadmam/Alapadmam_106.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_107.jpg,data/landmarks/Alapadmam/Alapadmam_107.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_108.jpg,data/landmarks/Alapadmam/Alapadmam_108.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_109.jpg,data/landmarks/Alapadmam/Alapadmam_109.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_11.jpg,data/landmarks/Alapadmam/Alapadmam_11.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_110.jpg,data/landmarks/Alapadmam/Alapadmam_110.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_111.jpg,data/landmarks/Alapadmam/Alapadmam_111.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_112.jpg,data/landmarks/Alapadmam/Alapadmam_112.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_113.jpg,data/landmarks/Alapadmam/Alapadmam_113.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_114.jpg,data/landmarks/Alapadmam/Alapadmam_114.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_115.jpg,data/landmarks/Alapadmam/Alapadmam_115.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_116.jpg,data/landmarks/Alapadmam/Alapadmam_116.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_117.jpg,data/landmarks/Alapadmam/Alapadmam_117.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_118.jpg,data/landmarks/Alapadmam/Alapadmam_118.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_119.jpg,data/landmarks/Alapadmam/Alapadmam_119.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_12.jpg,data/landmarks/Alapadmam/Alapadmam_12.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_120.jpg,data/landmarks/Alapadmam/Alapadmam_120.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_121.jpg,data/landmarks/Alapadmam/Alapadmam_121.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_122.jpg,data/landmarks/Alapadmam/Alapadmam_122.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_123.jpg,data/landmarks/Alapadmam/Alapadmam_123.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_124.jpg,data/landmarks/Alapadmam/Alapadmam_124.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_125.jpg,data/landmarks/Alapadmam/Alapadmam_125.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_126.jpg,data/landmarks/Alapadmam/Alapadmam_126.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_127.jpg,data/landmarks/Alapadmam/Alapadmam_127.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_128.jpg,data/landmarks/Alapadmam/Alapadmam_128.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_129.jpg,data/landmarks/Alapadmam/Alapadmam_129.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_13.jpg,data/landmarks/Alapadmam/Alapadmam_13.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_130.jpg,data/landmarks/Alapadmam/Alapadmam_130.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_131.jpg,data/landmarks/Alapadmam/Alapadmam_131.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_132.jpg,data/landmarks/Alapadmam/Alapadmam_132.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_133.jpg,data/landmarks/Alapadmam/Alapadmam_133.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_134.jpg,data/landmarks/Alapadmam/Alapadmam_134.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_135.jpg,data/landmarks/Alapadmam/Alapadmam_135.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_136.jpg,data/landmarks/Alapadmam/Alapadmam_136.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_137.jpg,data/landmarks/Alapadmam/Alapadmam_137.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_138.jpg,data/landmarks/Alapadmam/Alapadmam_138.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_139.jpg,data/landmarks/Alapadmam/Alapadmam_139.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_14.jpg,data/landmarks/Alapadmam/Alapadmam_14.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_140.jpg,data/landmarks/Alapadmam/Alapadmam_140.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_141.jpg,data/landmarks/Alapadmam/Alapadmam_141.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_142.jpg,data/landmarks/Alapadmam/Alapadmam_142.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_143.jpg,data/landmarks/Alapadmam/Alapadmam_143.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_144.jpg,data/landmarks/Alapadmam/Alapadmam_144.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_145.jpg,data/landmarks/Alapadmam/Alapadmam_145.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_146.jpg,data/landmarks/Alapadmam/Alapadmam_146.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_147.jpg,data/landmarks/Alapadmam/Alapadmam_147.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_148.jpg,data/landmarks/Alapadmam/Alapadmam_148.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_149.jpg,data/landmarks/Alapadmam/Alapadmam_149.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_15.jpg,data/landmarks/Alapadmam/Alapadmam_15.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_150.jpg,data/landmarks/Alapadmam/Alapadmam_150.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_151.jpg,data/landmarks/Alapadmam/Alapadmam_151.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_152.jpg,data/landmarks/Alapadmam/Alapadmam_152.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_153.jpg,data/landmarks/Alapadmam/Alapadmam_153.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_154.jpg,data/landmarks/Alapadmam/Alapadmam_154.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_155.jpg,data/landmarks/Alapadmam/Alapadmam_155.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_156.jpg,data/landmarks/Alapadmam/Alapadmam_156.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_157.jpg,data/landmarks/Alapadmam/Alapadmam_157.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_158.jpg,data/landmarks/Alapadmam/Alapadmam_158.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_159.jpg,data/landmarks/Alapadmam/Alapadmam_159.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_16.jpg,data/landmarks/Alapadmam/Alapadmam_16.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_160.jpg,data/landmarks/Alapadmam/Alapadmam_160.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_161.jpg,data/landmarks/Alapadmam/Alapadmam_161.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_162.jpg,data/landmarks/Alapadmam/Alapadmam_162.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_163.jpg,data/landmarks/Alapadmam/Alapadmam_163.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_164.jpg,data/landmarks/Alapadmam/Alapadmam_164.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_165.jpg,data/landmarks/Alapadmam/Alapadmam_165.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_166.jpg,data/landmarks/Alapadmam/Alapadmam_166.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_167.jpg,data/landmarks/Alapadmam/Alapadmam_167.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_168.jpg,data/landmarks/Alapadmam/Alapadmam_168.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_169.jpg,data/landmarks/Alapadmam/Alapadmam_169.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_17.jpg,data/landmarks/Alapadmam/Alapadmam_17.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_170.jpg,data/landmarks/Alapadmam/Alapadmam_170.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_171.jpg,data/landmarks/Alapadmam/Alapadmam_171.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_172.jpg,data/landmarks/Alapadmam/Alapadmam_172.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_173.jpg,data/landmarks/Alapadmam/Alapadmam_173.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_174.jpg,data/landmarks/Alapadmam/Alapadmam_174.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_175.jpg,data/landmarks/Alapadmam/Alapadmam_175.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_176.jpg,data/landmarks/Alapadmam/Alapadmam_176.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_177.jpg,data/landmarks/Alapadmam/Alapadmam_177.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_178.jpg,data/landmarks/Alapadmam/Alapadmam_178.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_179.jpg,data/landmarks/Alapadmam/Alapadmam_179.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_18.jpg,data/landmarks/Alapadmam/Alapadmam_18.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_180.jpg,data/landmarks/Alapadmam/Alapadmam_180.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_181.jpg,data/landmarks/Alapadmam/Alapadmam_181.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_182.jpg,data/landmarks/Alapadmam/Alapadmam_182.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_183.jpg,data/landmarks/Alapadmam/Alapadmam_183.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_184.jpg,data/landmarks/Alapadmam/Alapadmam_184.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_185.jpg,data/landmarks/Alapadmam/Alapadmam_185.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_186.jpg,data/landmarks/Alapadmam/Alapadmam_186.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_187.jpg,data/landmarks/Alapadmam/Alapadmam_187.json,ok,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_188.jpg,data/landmarks/Alapadmam/Alapadmam_188.json,no_hand_detected,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_189.jpg,data/landmarks/Alapadmam/Alapadmam_189.json,no_hand_detected,0,1
