mudra,image_path,landmark_path,status,hand_count_quality,num_hands_detected,expected_hands
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_0.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_0.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_1.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_1.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_10.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_10.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_100.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_100.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_101.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_101.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_102.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_102.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_103.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_103.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_104.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_104.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_105.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_105.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_106.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_106.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_107.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_107.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_108.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_108.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_109.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_109.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_11.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_11.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_110.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_110.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_111.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_111.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_112.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_112.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_113.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_113.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_114.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_114.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_115.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_115.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_116.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_116.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_117.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_117.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_118.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_118.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_119.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_119.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_12.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_12.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_120.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_120.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_121.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_121.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_122.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_122.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_123.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_123.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_124.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_124.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_125.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_125.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_126.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_126.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_127.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_127.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_128.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_128.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_129.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_129.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_13.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_13.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_130.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_130.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_131.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_131.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_132.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_132.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_133.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_133.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_134.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_134.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_135.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_135.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_136.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_136.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_137.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_137.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_138.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_138.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_139.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_139.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_14.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_14.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_140.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_140.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_141.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_141.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_142.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_142.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_143.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_143.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_144.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_144.json,no_hand_detected,not_applicable,0,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_145.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_145.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_146.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_146.json,ok,expected_match,1,1
Alapadmam,data/raw/Alapadmam(1)/Alapadmam_147.jpg,data/landmarks_pathB/Alapadmam/Alapadmam_147.json,ok,expected_match,1,1
